PersonNr,Lan,Kommun,Forsamling,Distriktskod,FastLopNr,FastBet,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,FamId,Sun2000niva_old,SUN2000niva,SUN2000Inr,SUN2000Grp,CfarNr_LISA,ArbstId,AstNr_LISA,AstKommun,AstLan,KU1PeOrgNr,KU1CfarNr,KU1AstNr,KU1AstKommun,KU1AstLan,KU1YrkStalln,KU2PeOrgNr,KU2CfarNr,KU2AstNr,KU2AstKommun,KU2AstLan,KU2YrkStalln,KU3PeOrgNr,KU3CfarNr,KU3AstNr,KU3AstKommun,KU3AstLan,KU3YrkStalln,FodelseAr,DodDatum,Alder,Kon,InvUtvLand,InvUtvManad,PostTyp,FodelseLandnamn,FodelseTidMor,FodelseLandnamnMor,FodelseTidFar,FodelseLandnamnFar,UtlSvBakg,SyssStat,ArbTid,YrkStalln,KU1lnk,KU2lnk,KU3lnk,Raks_SummaInk,Raks_Huvudanknytning,Raks_EtablGrad,Raks_Forvink
19431211-9039,Kalmar county,Vimmerby,088405,105243,033501224,Vimmerby Tuna 174278553,0,0,0,0,0,0,0,0,19431211-9039,48356,412,7,"Minst 30 högskolepoäng inom hälso- o sjukvård och social omsorg, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,,47,1,Sweden,1944-01,Inv,Sweden,1982-01-02,Sweden,1979-01-02,China,21,6, , ,0,0,0,3434,5,NULL,0
19320909-0438,Gotland county,Gotland,098062,106019,710273060,Gotland Slite 230077142,0,1,1,0,0,0,0,0,19320909-0438,94503,55,520x,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik",892340373,89234037399998Gotland250811-9576,99998,Gotland,Gotland county,250811-9576,892340373,99998,Gotland,Gotland county,1,280501-5512,546179280,58807,Gotland,Gotland county,1,-,-,-,0000,00,-,1932,,58,1,Finland,1979-03,Utv,Iran,1982-01-02,India,1979-01-02,Poland,11,1,4,1,1594,1417,0,3011,5,NULL,0
19371015-0207,Gotland county,Gotland,098062,106019,710273060,Gotland Slite 230077142,0,1,1,0,0,0,0,0,19320909-0438,35612,3,762a 762b,Omvårdnads- och omsorgsutbildning på gymnasial nivå,888385432,88838543280767Gotland331129-3499,80767,Gotland,Gotland county,331129-3499,888385432,80767,Gotland,Gotland county,1,501225-1592,833909564,37305,Gotland,Gotland county,1,-,-,-,0000,00,-,1937,,53,2,Sweden,1983-08,Inv,Iran,1982-01-02,UK,1979-01-02,Netherlands,11,1,5,4,1869,1292,0,3161,5,NULL,0
19630503-0820,Västmanland county,Skinnskatteberg,190402,214054,041436851,Skinnskatteberg Riddarhyttan 46163188,1,0,0,0,0,0,0,0,19630503-0820,68507,551,481b,Naturvetenskaplig högskoleutbildning (minst 3 år),-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1963,,27,2,Finland,2011-01,Inv,Pakistan,1982-01-02,Denmark,1979-01-02,Syria,11,6, , ,0,0,0,1615,5,NULL,0
19631104-7605,Västra Götaland county,Stenungsund,141504,109033,057108272,Stenungsund Stenungsund 172784173,0,0,0,0,0,0,0,0,19631104-7605,23127,5,762d,Socionomutbildning,623462204,62346220465886Herrljunga631104-7605,65886,Herrljunga,Västra Götaland county,631104-7605,623462204,65886,Herrljunga,Västra Götaland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1963,20110616,47,2,Italy,1999-12,Utv,Germany,1982-01-02,Turkey,1979-01-02,Denmark,11,5,1,2,1069,0,0,1817,1,1,0
19490928-7351,Örebro county,Hällefors,186302,214016,271648993,Hällefors Hällefors 171061718,0,0,0,0,0,0,0,0,19490928-7351,90226,322,5,"Tekniskt gymnasium, 1-3 år",647919709,64791970991061Ljusnarsberg280501-1198,91061,Ljusnarsberg,Örebro county,280501-1198,647919709,91061,Ljusnarsberg,Örebro county,1,591114-8644,941176125,93653,Hällefors,Örebro county,1,-,-,-,0000,00,-,1949,,41,1,Iraq,1969-09,Inv,India,1982-01-02,Italy,1979-01-02,Turkey,11,1,9,2,1850,1510,0,3360,1,1,0
19440520-7968,Jämtland county,Åre,232105,322022,924328665,Åre Undersåker 181318446,0,1,0,0,0,0,0,0,19440520-7968,63932,546,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",826979934,82697993424701Krokom340910-2011,24701,Krokom,Jämtland county,340910-2011,826979934,24701,Krokom,Jämtland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1944,,46,2,Poland,2015-01,Inv,Sweden,1982-01-02,Turkey,1979-01-02,Denmark,12,1,5,2,1227,0,0,2900,1,1,0
19510211-4367,Västra Götaland county,Färgelanda,143901,110006,066114275,Färgelanda Stigen 233206119,1,0,0,2,0,0,0,0,19510211-4367,93606,5,726b,Arbetsterapeututbildning,508236508,50823650875449Svenljunga681123-1889,75449,Svenljunga,Västra Götaland county,681123-1889,508236508,75449,Svenljunga,Västra Götaland county,1,510211-4367,722105844,48158,Mark,Västra Götaland county,1,-,-,-,0000,00,-,1951,,39,2,Germany,2000-12,Utv,Iraq,1982-01-02,Poland,1979-01-02,China,11,1,4,2,937,340,0,1277,4,1,0
19560108-4315,Västra Götaland county,Färgelanda,143901,110006,066114275,Färgelanda Stigen 233206119,1,0,0,2,0,0,0,0,19510211-4367,30838,2,010x,Grundskoleutbildning och motsvarande,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,19821201,26,1,Syria,1968-08,Inv,Italy,1982-01-02,Denmark,1979-01-02,Afghanistan,11,6, , ,0,0,0,2953,6,NULL,0
19461111-7014,Södermanland county,Oxelösund,048101,212001,746229849,Oxelösund Inskogen 268844263,0,0,0,0,0,0,0,0,19461111-7014,57027,547,149d,Speciallärar- och specialpedagogutbildning,708465163,70846516308584Katrineholm250101-3701,08584,Katrineholm,Södermanland county,250101-3701,708465163,08584,Katrineholm,Södermanland county,1,670609-9713,900855572,99981,Trosa,Södermanland county,1,-,-,-,0000,00,-,1946,,44,1,Pakistan,1957-11,Utv,Netherlands,1982-01-02,Sweden,1979-01-02,Pakistan,21,1,9,2,1163,924,0,2087,3,0,0
19400615-9681,Västernorrland county,Timrå,226203,320016,077970082,Timrå Laggarberg 346137058,1,1,0,0,0,0,0,0,19400615-9681,37424,539,345,"Högskoleutbildning inom organisation, administration och förvaltning (minst 3 år)",943010364,94301036400306Härnösand520826-8957,00306,Härnösand,Västernorrland county,520826-8957,943010364,00306,Härnösand,Västernorrland county,1,670928-0359,170971345,86147,Härnösand,Västernorrland county,1,-,-,-,0000,00,-,1940,,50,2,USA,1944-10,Utv,Pakistan,1982-01-02,Romania,1979-01-02,Iraq,11,1,1,4,1081,1071,0,2152,6,NULL,0
19611114-4556,Skåne county,Tomelilla,127014,101183,248445987,Tomelilla Tomelilla 336867157,1,1,0,0,0,0,0,0,19611114-4556,12662,325,522d,Gymnasieutbildning inom energi och VVS,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1961,,29,1,Finland,1976-07,Utv,Denmark,1982-01-02,Russia,1979-01-02,USA,11,6, , ,0,0,0,4122,5,NULL,0
19570601-7038,Dalarna county,Mora,206201,217039,563588497,Mora Sollerön 285753182,0,0,0,0,0,0,0,0,19570601-7038,60762,3,724d,Tandvårdsutbildning på gymnasial nivå,562236809,56223680994569Orsa710203-7385,94569,Orsa,Dalarna county,710203-7385,562236809,94569,Orsa,Dalarna county,1,570601-7038,637119270,28960,Älvdalen,Dalarna county,1,-,-,-,0000,00,-,1957,,33,1,Denmark,1998-07,Inv,Netherlands,1982-01-02,USA,1979-01-02,Brazil,11,1,5,1,883,464,0,1347,6,NULL,0
19600730-2035,Dalarna county,Mora,206201,217039,563588497,Mora Sollerön 285753182,0,0,0,0,0,0,0,0,19570601-7038,54261,412,7,"Minst 30 högskolepoäng inom hälso- o sjukvård och social omsorg, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,1,Poland,1999-09,Utv,Turkey,1982-01-02,Russia,1979-01-02,UK,11,6, , ,0,0,0,2385,6,NULL,0
19561216-5470,Halland county,Kungsbacka,138403,104091,716670751,Kungsbacka Onsala 393492122,0,0,0,0,0,0,0,0,19561216-5470,77271,546,529b,Övrig ingenjörsutbildning (eftergymnasial),470148406,47014840699982Varberg351022-0846,99982,Varberg,Halland county,351022-0846,470148406,99982,Varberg,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,,34,1,Iraq,2017-09,Inv,Sweden,1982-01-02,USA,1979-01-02,Italy,12,1,4,2,1128,0,0,1868,2,0,0
19600711-4122,Halland county,Kungsbacka,138403,104091,716670751,Kungsbacka Onsala 393492122,0,0,0,0,0,0,0,0,19561216-5470,25350,3,010c,Naturvetenskaplig gymnasieutbildning,837260180,83726018050112Kungsbacka270623-2897,50112,Kungsbacka,Halland county,270623-2897,837260180,50112,Kungsbacka,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,19640603,3,2,Sweden,1961-11,Inv,USA,1982-01-02,Finland,1979-01-02,Finland,11,1,2,2,1495,0,0,1495,1,1,0
19380507-3140,Jönköping county,Nässjö,068205,105240,422961598,Nässjö Flisby 251153701,1,0,0,0,0,1,0,0,19380507-3140,61574,4,726a,Fysioterapeututbildning,515974936,51597493633127Tranås480204-7263,33127,Tranås,Jönköping county,480204-7263,515974936,33127,Tranås,Jönköping county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1938,,52,2,Iraq,2007-03,Utv,USA,1982-01-02,Turkey,1979-01-02,Brazil,11,1,4,4,1135,0,0,4305,6,NULL,0
19651127-0029,Jönköping county,Nässjö,068205,105240,422961598,Nässjö Flisby 251153701,0,0,0,0,0,0,0,0,19380507-3140,99649,546,529b,Övrig ingenjörsutbildning (eftergymnasial),451374136,45137413658124Sävsjö261015-3009,58124,Sävsjö,Jönköping county,261015-3009,451374136,58124,Sävsjö,Jönköping county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1965,,25,2,Russia,1991-03,Utv,Iran,1982-01-02,Poland,1979-01-02,USA,11,1,5,1,1564,0,0,1564,6,NULL,0
19491005-1402,Dalarna county,Orsa,203402,217048,017672808,Orsa Orsa 244428779,0,0,0,0,0,0,0,0,19491005-1402,77508,2,010a,Grundskoleutbildning och motsvarande,615912996,61591299601841Leksand491005-1402,01841,Leksand,Dalarna county,491005-1402,615912996,01841,Leksand,Dalarna county,1,491005-1402,615912996,41308,Smedjebacken,Dalarna county,1,-,-,-,0000,00,-,1949,,41,2,Poland,2019-03,Inv,Syria,1982-01-02,Poland,1979-01-02,Germany,11,5,5,2,1106,735,0,2104,4,0,0
19561231-5234,Dalarna county,Orsa,203402,217048,017672808,Orsa Orsa 244428779,0,0,0,0,0,0,0,0,19491005-1402,17829,613,321,Journalist- och medieutbildning (eftergymnasial),557973010,55797301058213Borlänge391018-7781,58213,Borlänge,Dalarna county,391018-7781,557973010,58213,Borlänge,Dalarna county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,,34,1,Syria,1985-06,Utv,Afghanistan,1982-01-02,China,1979-01-02,Brazil,11,1,4,2,1332,0,0,2613,4,0,0
19551214-3864,Västerbotten county,Vindeln,240401,323017,275929159,Vindeln Tvärålund 72040980,0,0,0,0,0,0,0,0,19551214-3864,17545,327,543e,Gymnasieutbildning inom processteknik,878736182,87873618287213Sorsele700105-2696,87213,Sorsele,Västerbotten county,700105-2696,878736182,87213,Sorsele,Västerbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1955,,35,2,Brazil,2014-08,Inv,Denmark,1982-01-02,Romania,1979-01-02,Iran,11,1,5,4,1688,0,0,1927,6,NULL,0
19601124-5390,Gävleborg county,Ljusdal,216103,318025,867540854,Ljusdal Järvsö 389185411,0,0,0,0,0,0,0,0,19601124-5390,51973,538,380,Juridisk högskoleutbildning (minst 3 år),852172531,85217253176119Gävle530211-2487,76119,Gävle,Gävleborg county,530211-2487,852172531,76119,Gävle,Gävleborg county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,1,Poland,2013-07,Utv,Netherlands,1982-01-02,Syria,1979-01-02,Netherlands,11,1,5,0,1398,0,0,3446,7,NULL,0
19601124-6949,Gävleborg county,Ljusdal,216103,318025,867540854,Ljusdal Järvsö 389185411,0,0,0,0,0,0,0,0,19601124-5390,58738,6,620,Lantbruksvetenskaplig högskoleutbildning (minst 3 år),301623849,30162384965926Bollnäs630428-0484,65926,Bollnäs,Gävleborg county,630428-0484,301623849,65926,Bollnäs,Gävleborg county,1,250101-4057,381371663,96888,Gävle,Gävleborg county,1,-,-,-,0000,00,-,1960,,30,2,China,2003-10,Utv,Denmark,1982-01-02,Pakistan,1979-01-02,Russia,11,1,3,0,1432,963,0,3400,7,NULL,0
19560712-2421,Dalarna county,Vansbro,202101,217015,012712251,Vansbro Heden och Skansbacken 320603551,0,0,0,0,0,0,0,0,19560712-2421,31715,5,727b,Receptarieutbildning,516740452,51674045285960Rättvik520121-6573,85960,Rättvik,Dalarna county,520121-6573,516740452,85960,Rättvik,Dalarna county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,,34,2,Syria,2016-09,Inv,Russia,1982-01-02,Brazil,1979-01-02,Finland,11,1,2,4,1284,0,0,7089,5,NULL,0
19270116-8012,Östergötland county,Linköping,058035,108088,811716893,Linköping Bestorp 307330265,0,0,0,0,0,0,0,0,19270116-8012,79235,547,541a,"Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik",832727223,83272722318236Valdemarsvik391125-6510,18236,Valdemarsvik,Östergötland county,391125-6510,832727223,18236,Valdemarsvik,Östergötland county,1,550401-6313,351783366,72265,Norrköping,Östergötland county,1,-,-,-,0000,00,-,1927,,63,1,Brazil,1977-03,Inv,India,1982-01-02,India,1979-01-02,Germany,11,1,9,2,2187,1647,0,3834,1,0,0
19270311-5183,Östergötland county,Linköping,058035,108088,811716893,Linköping Bestorp 307330265,0,0,0,0,0,0,0,0,19270116-8012,30502,3,762a 762b,Omvårdnads- och omsorgsutbildning på gymnasial nivå,913455579,91345557983361Mjölby741211-5049,83361,Mjölby,Östergötland county,741211-5049,913455579,83361,Mjölby,Östergötland county,1,290302-1816,773751929,39999,Linköping,Östergötland county,1,-,-,-,0000,00,-,1927,,63,2,Iran,2000-10,Inv,India,1982-01-02,Sweden,1979-01-02,Brazil,21,1,5,1,1179,765,0,3225,6,NULL,0
19681117-2942,Halland county,Halmstad,138005,104026,173112328,Halmstad Steninge 319786468,3,0,0,0,0,0,0,0,19681117-2942,44300,532,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen",308462838,30846283822390Halmstad550410-0761,22390,Halmstad,Halland county,550410-0761,308462838,22390,Halmstad,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1968,,22,2,Afghanistan,1995-01,Inv,Afghanistan,1982-01-02,India,1979-01-02,China,11,1,5,1,1149,0,0,2891,5,NULL,0
19601231-1690,Värmland county,Kristinehamn,178101,213024,369192166,Kristinehamn Kristinehamn 128535036,0,0,0,1,0,0,0,0,19601231-1690,40409,413,010c,Naturvetenskaplig gymnasieutbildning,861160326,86116032606052Storfors601231-1690,06052,Storfors,Värmland county,601231-1690,861160326,06052,Storfors,Värmland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,20150629,54,1,Romania,1963-04,Utv,Romania,1982-01-02,Russia,1979-01-02,Syria,11,1,3,1,1412,0,0,2846,6,NULL,0
19620724-0684,Värmland county,Kristinehamn,178101,213024,369192166,Kristinehamn Kristinehamn 128535036,0,0,0,1,0,0,0,0,19601231-1690,53379,6,623,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år),457061590,45706159071278Hammarö380728-8597,71278,Hammarö,Värmland county,380728-8597,457061590,71278,Hammarö,Värmland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1962,,28,2,Iraq,1987-10,Utv,China,1982-01-02,Russia,1979-01-02,Russia,11,1,5,1,1420,0,0,2209,6,NULL,0
19721211-9752,Jämtland county,Härjedalen,236101,319003,993390681,Härjedalen Lillhärdal 312815318,1,0,0,0,0,0,0,0,19721211-9752,11725,537,314,Ekonomutbildning (högskoleutbildning minst 3 år),644183261,64418326141567Åre330715-0812,41567,Åre,Jämtland county,330715-0812,644183261,41567,Åre,Jämtland county,1,700321-7896,283553233,09966,Bräcke,Jämtland county,1,-,-,-,0000,00,-,1972,,18,1,Denmark,1998-05,Utv,Finland,1982-01-02,Pakistan,1979-01-02,Brazil,11,1,4,1,1450,1320,0,7245,6,NULL,0
19760723-2964,Jämtland county,Härjedalen,236101,319003,993390681,Härjedalen Lillhärdal 312815318,1,0,0,0,0,0,0,0,19721211-9752,30682,5,761c,Fritidsledarutbildning (eftergymnasial),608262412,60826241244995Strömsund540227-5573,44995,Strömsund,Jämtland county,540227-5573,608262412,44995,Strömsund,Jämtland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1976,,14,2,Sweden,2007-12,Inv,Romania,1982-01-02,Turkey,1979-01-02,Pakistan,11,1,4,2,1476,0,0,2945,1,1,0
19470723-7514,Gävleborg county,Bollnäs,218306,318004,549133911,Bollnäs Vallsta 292242116,0,0,1,0,0,0,0,0,19470723-7514,99938,331,522e,Gymnasieutbildning inom elektro- och datateknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1947,,43,1,Italy,1993-12,Inv,Finland,1982-01-02,Pakistan,1979-01-02,Romania,11,6, , ,0,0,0,2145,6,NULL,0
19500904-8739,Gävleborg county,Bollnäs,218306,318004,549133911,Bollnäs Vallsta 292242116,0,0,1,0,0,0,0,0,19470723-7514,32670,5,762b,Social service- och omsorgsutbildning,550174110,55017411053699Ovanåker761108-4575,53699,Ovanåker,Gävleborg county,761108-4575,550174110,53699,Ovanåker,Gävleborg county,1,420325-4264,465326541,95542,Ovanåker,Gävleborg county,1,-,-,-,0000,00,-,1950,,40,1,UK,1969-03,Inv,Germany,1982-01-02,Iraq,1979-01-02,Iraq,11,5,5,0,554,419,0,2114,7,NULL,0
19310927-6547,Västernorrland county,Sundsvall,228112,320018,073444113,Sundsvall Sundsvall 207289613,0,0,0,0,0,1,0,0,19310927-6547,11572,3,761,Gymnasial utbildning med inriktning mot barn och ungdom,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1931,,59,2,Netherlands,2001-02,Inv,India,1982-01-02,Poland,1979-01-02,Iraq,11,6, , ,0,0,0,1545,6,NULL,0
19690609-6977,Västernorrland county,Sundsvall,228112,320018,073444113,Sundsvall Sundsvall 207289613,0,0,0,0,0,0,0,0,19310927-6547,39620,677,314,Ekonomutbildning (högskoleutbildning minst 3 år),610571902,61057190222144Örnsköldsvik410913-8650,22144,Örnsköldsvik,Västernorrland county,410913-8650,610571902,22144,Örnsköldsvik,Västernorrland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1969,,21,1,India,2003-06,Utv,Finland,1982-01-02,Sweden,1979-01-02,Russia,21,1,3,2,870,0,0,2752,4,0,0
19370723-0549,Västernorrland county,Sundsvall,228112,320018,073444113,Sundsvall Sundsvall 207289613,0,0,0,0,0,1,0,0,19310927-6547,19170,323,521,Gymnasieutbildning inom verkstadsteknik,214805689,21480568958753Timrå430212-4126,58753,Timrå,Västernorrland county,430212-4126,214805689,58753,Timrå,Västernorrland county,1,611002-5596,934908344,67941,Sundsvall,Västernorrland county,1,-,-,-,0000,00,-,1937,,53,2,Brazil,1951-04,Utv,Romania,1982-01-02,USA,1979-01-02,Germany,11,1,5,2,1624,783,0,5835,1,1,0
19481230-7567,Gotland county,Gotland,098030,106063,386379687,Gotland Stånga 196246049,0,0,0,0,0,0,0,0,19481230-7567,37676,3,640b,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård,392770172,39277017240557Gotland430127-3494,40557,Gotland,Gotland county,430127-3494,392770172,40557,Gotland,Gotland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1948,,42,2,Italy,1969-05,Inv,Iran,1982-01-02,Italy,1979-01-02,China,11,1,2,4,2023,0,0,3274,5,NULL,0
19521125-4536,Västernorrland county,Sundsvall,228113,320020,906710184,Sundsvall Stöde 215785415,0,0,1,0,0,0,0,0,19521125-4536,58121,417,146h,Lärarutbildning i praktisk-estetiska ämnen,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1952,,38,1,India,1957-09,Inv,Iran,1982-01-02,India,1979-01-02,Denmark,11,6, , ,0,0,0,8352,5,NULL,0
19440413-2850,Kronoberg county,Markaryd,076703,105007,760837816,Markaryd Markaryd 342774743,1,0,0,0,0,0,0,0,19440413-2850,68003,4,840,Transportutbildning på eftergymnasial nivå,490716199,49071619992645Alvesta470416-2149,92645,Alvesta,Kronoberg county,470416-2149,490716199,92645,Alvesta,Kronoberg county,1,730101-2393,808012720,47761,Ljungby,Kronoberg county,1,390107-9649,918954653,50365,Lessebo,Kronoberg county,1,1944,,46,1,China,1984-06,Inv,Iraq,1982-01-02,Pakistan,1979-01-02,Italy,11,5,3,1,1845,953,618,3416,5,NULL,0
19540819-0667,Örebro county,Örebro,188015,211012,388174913,Örebro Garphyttan 74699715,0,0,0,0,0,0,0,0,19540819-0667,58450,547,149a,Speciallärar- och specialpedagogutbildning,722681611,72268161185001Nora370719-2980,85001,Nora,Örebro county,370719-2980,722681611,85001,Nora,Örebro county,1,531108-8642,387448769,50293,Lindesberg,Örebro county,1,-,-,-,0000,00,-,1954,,36,2,Sweden,1998-06,Utv,Iran,1982-01-02,Romania,1979-01-02,Romania,11,5,4,4,2114,1599,0,3713,6,NULL,0
19540819-6024,Örebro county,Örebro,188015,211012,388174913,Örebro Garphyttan 74699715,0,0,0,0,0,0,0,0,19540819-0667,12271,537,580b,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)",723197918,72319791877845Örebro621001-5807,77845,Örebro,Örebro county,621001-5807,723197918,77845,Örebro,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1954,,36,2,Iraq,2013-02,Inv,Netherlands,1982-01-02,Russia,1979-01-02,India,11,1,3,2,809,0,0,1081,1,1,0
19260528-6572,Stockholm county,Värmdö,012006,215004,279391486,Värmdö Norra Vindö 257384645,0,0,0,0,0,1,0,0,19260528-6572,56846,4,211c,Konstnärlig eftergymnasial utbildning,611140652,61114065222807Salem670109-2728,22807,Salem,Stockholm county,670109-2728,611140652,22807,Salem,Stockholm county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1926,,64,1,Poland,1942-05,Inv,Romania,1982-01-02,China,1979-01-02,Afghanistan,11,1,3,1,1771,0,0,1771,5,NULL,0
19530126-2365,Stockholm county,Värmdö,012006,215004,279391486,Värmdö Norra Vindö 257384645,0,0,0,0,0,0,0,0,19260528-6572,57904,413,010c,Naturvetenskaplig gymnasieutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1953,,37,2,Iraq,2003-01,Inv,Turkey,1982-01-02,Poland,1979-01-02,Brazil,11,6, , ,0,0,0,825,5,NULL,0
19310201-7032,Stockholm county,Värmdö,012006,215004,279391486,Värmdö Norra Vindö 257384645,0,0,0,0,0,1,0,0,19260528-6572,47444,611,312,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år),410267793,41026779336124Tyresö340704-9526,36124,Tyresö,Stockholm county,340704-9526,410267793,36124,Tyresö,Stockholm county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1931,,59,1,Iran,2013-08,Inv,Finland,1982-01-02,India,1979-01-02,USA,11,5,5,0,808,0,0,2522,7,NULL,0
19700301-1758,Västra Götaland county,Göteborg,148021,107058,801667136,Göteborg Nordöstra Göteborg 361032668,0,0,0,0,0,0,0,0,19700301-1758,52523,5,723b,Sjuksköterskeutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1970,,20,1,Italy,2016-06,Utv,Poland,1982-01-02,Pakistan,1979-01-02,Afghanistan,11,6, , ,0,0,0,1505,5,NULL,0
19681125-1798,Dalarna county,Gagnef,202601,217021,785285262,Gagnef Bäsna 179658115,0,0,0,0,0,0,0,0,19681125-1798,83365,55,727a,Apotekarutbildning,738618772,73861877233781Ludvika350628-9991,33781,Ludvika,Dalarna county,350628-9991,738618772,33781,Ludvika,Dalarna county,1,641218-0344,155386334,02693,Rättvik,Dalarna county,1,-,-,-,0000,00,-,1968,,22,1,UK,1985-09,Inv,Romania,1982-01-02,Sweden,1979-01-02,Syria,21,5,5,2,1043,844,0,5256,1,0,0
19400131-6758,Halland county,Falkenberg,138208,104036,786737864,Falkenberg Långås 135478227,1,1,0,0,1,0,0,0,19400131-6758,50178,532,3,"Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen",941106381,94110638175166Falkenberg610825-6474,75166,Falkenberg,Halland county,610825-6474,941106381,75166,Falkenberg,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1940,,50,1,Pakistan,1999-02,Inv,Brazil,1982-01-02,Afghanistan,1979-01-02,Italy,11,1,9,4,2023,0,0,2023,6,NULL,0
19740806-2533,Halland county,Falkenberg,138208,104036,786737864,Falkenberg Långås 135478227,0,0,0,0,0,0,0,0,19400131-6758,84353,325,582f,Gymnasieutbildning inom energi och VVS,263481764,26348176458283Halmstad740806-2533,58283,Halmstad,Halland county,740806-2533,263481764,58283,Halmstad,Halland county,1,550803-4810,969311499,06417,Laholm,Halland county,1,-,-,-,0000,00,-,1974,,16,1,Afghanistan,2016-02,Inv,China,1982-01-02,UK,1979-01-02,Iraq,11,1,2,0,931,310,0,1586,7,NULL,0
19480831-7202,Halland county,Laholm,138105,104003,876725934,Laholm Knäred 159574523,0,0,0,0,0,0,0,0,19480831-7202,97062,6,623,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år),413307041,41330704129250Laholm720206-7514,29250,Laholm,Halland county,720206-7514,413307041,29250,Laholm,Halland county,1,620929-7290,946746766,85027,Kungsbacka,Halland county,1,-,-,-,0000,00,-,1948,,42,2,Pakistan,1969-10,Inv,Germany,1982-01-02,China,1979-01-02,China,11,1,5,2,1074,1067,0,3707,4,0,0
19550116-2366,Halland county,Laholm,138105,104003,876725934,Laholm Knäred 159574523,0,0,0,0,0,0,0,0,19480831-7202,31294,5,861a,Polisutbildning,333711156,33371115694092Halmstad550116-2366,94092,Halmstad,Halland county,550116-2366,333711156,94092,Halmstad,Halland county,1,531120-9433,751453609,63285,Halmstad,Halland county,1,-,-,-,0000,00,-,1955,,35,2,Syria,1981-09,Inv,Denmark,1982-01-02,Denmark,1979-01-02,Poland,11,1,5,0,1271,688,0,1959,7,NULL,0
19521117-0667,Västernorrland county,Örnsköldsvik,228411,321040,196171579,Örnsköldsvik Köpmanholmen 250470354,0,1,0,0,2,0,0,0,19521117-0667,71645,324,543c,Gymnasieutbildning inom träteknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1952,,38,2,Denmark,1974-02,Utv,Sweden,1982-01-02,Denmark,1979-01-02,Turkey,12,6, , ,0,0,0,2741,6,NULL,0
